position,Sun Visibility 60m,lon,lat
0,0.361032,44.095227,-89.696336
0.001,0.362125,44.099623,-89.696313
0.002,0.363222,44.104018,-89.696289
0.003,0.36434,44.108412,-89.696266
0.004,0.36544,44.112806,-89.696243
0.005,0.366543,44.117199,-89.696219
0.006,0.36766,44.121591,-89.696196
0.007,0.36876,44.125983,-89.696173
0.008,0.36986,44.130374,-89.696149
0.009,0.37097,44.134764,-89.696126
0.01,0.372074,44.139154,-89.696103
0.011,0.373175,44.143543,-89.696079
0.012,0.374274,44.147931,-89.696056
0.013,0.375371,44.152319,-89.696032
0.014,0.376488,44.156706,-89.696009
0.015,0.377596,44.161092,-89.695986
0.016,0.378695,44.165478,-89.695962
0.017,0.379802,44.169863,-89.695939
0.018,0.380908,44.174247,-89.695916
0.019,0.382016,44.178631,-89.695892
0.02,0.383125,44.183014,-89.695869
0.021,0.384224,44.187396,-89.695845
0.022,0.385333,44.191777,-89.695822
0.023,0.38645,44.196158,-89.695799
0.024,0.387549,44.200539,-89.695775
0.025,0.388647,44.204918,-89.695752
0.026,0.389758,44.209297,-89.695729
0.027,0.390869,44.213675,-89.695705
0.028,0.391976,44.218053,-89.695682
0.029,0.393074,44.22243,-89.695658
0.03,0.394187,44.226806,-89.695635
0.031,0.395306,44.231181,-89.695612
0.032,0.396418,44.235556,-89.695588
0.033,0.397517,44.23993,-89.695565
0.034,0.398623,44.244304,-89.695541
0.035,0.399736,44.248677,-89.695518
0.036,0.400851,44.253049,-89.695495
0.037,0.40195,44.25742,-89.695471
0.038,0.403051,44.261791,-89.695448
0.039,0.40417,44.266161,-89.695424
0.04,0.405286,44.270531,-89.695401
0.041,0.406386,44.2749,-89.695378
0.042,0.407042,44.279268,-89.695354
0.043,0.406831,44.283635,-89.695331
0.044,0.406169,44.288002,-89.695307
0.045,0.40551,44.292368,-89.695284
0.046,0.404851,44.296733,-89.695261
0.047,0.404192,44.301098,-89.695237
0.048,0.403532,44.305462,-89.695214
0.049,0.402872,44.309826,-89.69519
0.05,0.402212,44.314188,-89.695167
0.051,0.401555,44.318551,-89.695143
0.052,0.400895,44.322912,-89.69512
0.053,0.400236,44.327273,-89.695097
0.054,0.399577,44.331633,-89.695073
0.055,0.398918,44.335992,-89.69505
0.056,0.39828,44.340351,-89.695026
