position,TerrainSlope,lon,lat
0,12.358649,44.095227,-89.696336
0.001,12.239684,44.099623,-89.696313
0.002,12.190849,44.104018,-89.696289
0.003,12.078417,44.108412,-89.696266
0.004,11.846879,44.112806,-89.696243
0.005,11.898765,44.117199,-89.696219
0.006,12.066959,44.121591,-89.696196
0.007,12.119566,44.125983,-89.696173
0.008,12.217138,44.130374,-89.696149
0.009,12.365205,44.134764,-89.696126
0.01,12.522814,44.139154,-89.696103
0.011,12.744581,44.143543,-89.696079
0.012,12.999502,44.147931,-89.696056
0.013,13.372051,44.152319,-89.696032
0.014,13.873369,44.156706,-89.696009
0.015,14.380667,44.161092,-89.695986
0.016,14.883832,44.165478,-89.695962
0.017,15.383512,44.169863,-89.695939
0.018,15.886617,44.174247,-89.695916
0.019,16.430753,44.178631,-89.695892
0.02,16.865227,44.183014,-89.695869
0.021,16.94136,44.187396,-89.695845
0.022,16.787133,44.191777,-89.695822
0.023,16.614933,44.196158,-89.695799
0.024,16.460415,44.200539,-89.695775
0.025,16.307299,44.204918,-89.695752
0.026,16.221646,44.209297,-89.695729
0.027,16.225107,44.213675,-89.695705
0.028,16.223729,44.218053,-89.695682
0.029,16.112797,44.22243,-89.695658
0.03,15.927389,44.226806,-89.695635
0.031,15.789582,44.231181,-89.695612
0.032,15.787324,44.235556,-89.695588
0.033,15.699752,44.23993,-89.695565
0.034,15.566123,44.244304,-89.695541
0.035,15.566123,44.248677,-89.695518
0.036,15.566123,44.253049,-89.695495
0.037,15.604538,44.25742,-89.695471
0.038,15.724538,44.261791,-89.695448
0.039,15.719978,44.266161,-89.695424
0.04,15.635426,44.270531,-89.695401
0.041,15.762066,44.2749,-89.695378
0.042,15.807603,44.279268,-89.695354
0.043,15.821638,44.283635,-89.695331
0.044,15.722441,44.288002,-89.695307
0.045,15.314706,44.292368,-89.695284
0.046,14.935794,44.296733,-89.695261
0.047,14.592586,44.301098,-89.695237
0.048,14.268524,44.305462,-89.695214
0.049,13.968941,44.309826,-89.69519
0.05,13.675235,44.314188,-89.695167
0.051,13.467837,44.318551,-89.695143
0.052,13.184964,44.322912,-89.69512
