position,Polar Summer Max Temp,lon,lat
0,243.631947,44.095227,-89.696336
0.001,243.664395,44.099623,-89.696313
0.002,243.696795,44.104018,-89.696289
0.003,243.72897,44.108412,-89.696266
0.004,243.761204,44.112806,-89.696243
0.005,243.793475,44.117199,-89.696219
0.006,243.825759,44.121591,-89.696196
0.007,243.858093,44.125983,-89.696173
0.008,243.89036,44.130374,-89.696149
0.009,243.92268,44.134764,-89.696126
0.01,243.954936,44.139154,-89.696103
0.011,243.987323,44.143543,-89.696079
0.012,244.019546,44.147931,-89.696056
0.013,244.051884,44.152319,-89.696032
0.014,244.084166,44.156706,-89.696009
0.015,244.116378,44.161092,-89.695986
0.016,244.148653,44.165478,-89.695962
0.017,244.18101,44.169863,-89.695939
0.018,244.213282,44.174247,-89.695916
0.019,244.24556,44.178631,-89.695892
0.02,244.277829,44.183014,-89.695869
0.021,244.310059,44.187396,-89.695845
0.022,244.342314,44.191777,-89.695822
0.023,244.374624,44.196158,-89.695799
0.024,244.406864,44.200539,-89.695775
0.025,244.439152,44.204918,-89.695752
0.026,244.471399,44.209297,-89.695729
0.027,244.503608,44.213675,-89.695705
0.028,244.535889,44.218053,-89.695682
0.029,244.568188,44.22243,-89.695658
0.03,244.600383,44.226806,-89.695635
0.031,244.632643,44.231181,-89.695612
0.032,244.664898,44.235556,-89.695588
0.033,244.697154,44.23993,-89.695565
0.034,244.729385,44.244304,-89.695541
0.035,244.76164,44.248677,-89.695518
0.036,244.793873,44.253049,-89.695495
0.037,244.826175,44.25742,-89.695471
0.038,244.858342,44.261791,-89.695448
0.039,244.890613,44.266161,-89.695424
0.04,244.922886,44.270531,-89.695401
0.041,244.9551,44.2749,-89.695378
0.042,244.987314,44.279268,-89.695354
0.043,245.019521,44.283635,-89.695331
0.044,245.051778,44.288002,-89.695307
0.045,245.084007,44.292368,-89.695284
0.046,245.116249,44.296733,-89.695261
0.047,245.148489,44.301098,-89.695237
0.048,245.180675,44.305462,-89.695214
0.049,245.212901,44.309826,-89.69519
0.05,245.245111,44.314188,-89.695167
0.051,245.27737,44.318551,-89.695143
0.052,245.309554,44.322912,-89.69512
0.053,245.341765,44.327273,-89.695097
0.054,245.373969,44.331633,-89.695073
0.055,245.40618,44.335992,-89.69505
0.056,245.438406,44.340351,-89.695026
0.057,245.470604,44.344709,-89.695003
0.058,245.502812,44.349066,-89.694979
0.059,245.535041,44.353423,-89.694956
0.06,245.567219,44.357779,-89.694932
0.061,245.59941,44.362135,-89.694909
0.062,245.631625,44.366489,-89.694886
0.063,245.663815,44.370843,-89.694862
0.064,245.696003,44.375197,-89.694839
0.065,245.728196,44.379549,-89.694815
0.066,245.760388,44.383901,-89.694792
0.067,245.792582,44.388253,-89.694768
0.068,245.824767,44.392604,-89.694745
0.069,245.856952,44.396954,-89.694721
0.07,245.889158,44.401303,-89.694698
0.071,245.921327,44.405652,-89.694674
0.072,245.953514,44.41,-89.694651
0.073,245.985683,44.414347,-89.694628
0.074,246.01786,44.418694,-89.694604
0.075,246.050052,44.42304,-89.694581
0.076,246.082218,44.427385,-89.694557
0.077,246.114387,44.43173,-89.694534
0.078,246.146561,44.436074,-89.69451
0.079,246.178734,44.440417,-89.694487
0.08,246.210892,44.44476,-89.694463
0.081,246.243059,44.449102,-89.69444
0.082,246.275225,44.453443,-89.694416
0.083,246.30739,44.457784,-89.694393
0.084,246.339546,44.462124,-89.694369
0.085,246.371705,44.466463,-89.694346
0.086,246.403861,44.470802,-89.694322
0.087,246.436018,44.47514,-89.694299
0.088,246.468168,44.479477,-89.694275
0.089,246.500321,44.483814,-89.694252
0.09,246.532474,44.48815,-89.694228
0.091,246.564616,44.492485,-89.694205
0.092,246.596769,44.49682,-89.694181
0.093,246.628904,44.501154,-89.694158
0.094,246.661051,44.505487,-89.694134
0.095,246.693186,44.50982,-89.694111
0.096,246.725326,44.514152,-89.694087
0.097,246.757469,44.518484,-89.694064
0.098,246.789609,44.522814,-89.69404
0.099,246.821745,44.527144,-89.694017
0.1,246.853869,44.531474,-89.693993
0.101,246.886011,44.535802,-89.69397
0.102,246.918134,44.54013,-89.693946
0.103,246.950259,44.544458,-89.693923
0.104,246.982398,44.548784,-89.693899
0.105,247.01451,44.55311,-89.693876
0.106,247.046644,44.557436,-89.693852
0.107,247.07874,44.561761,-89.693829
0.108,247.110862,44.566085,-89.693805
0.109,247.142995,44.570408,-89.693782
0.11,247.17509,44.574731,-89.693758
0.111,247.207205,44.579053,-89.693734
0.112,247.239311,44.583374,-89.693711
0.113,247.271451,44.587695,-89.693687
0.114,247.303554,44.592015,-89.693664
0.115,247.335663,44.596334,-89.69364
0.116,247.367764,44.600653,-89.693617
0.117,247.399852,44.604971,-89.693593
0.118,247.431958,44.609288,-89.69357
0.119,247.464035,44.613605,-89.693546
0.12,247.496178,44.617921,-89.693523
0.121,247.528262,44.622237,-89.693499
0.122,247.56032,44.626551,-89.693475
0.123,247.592444,44.630865,-89.693452
0.124,247.624537,44.635179,-89.693428
0.125,247.656619,44.639492,-89.693405
0.126,247.688692,44.643804,-89.693381
0.127,247.720761,44.648115,-89.693358
0.128,247.752837,44.652426,-89.693334
0.129,247.784922,44.656736,-89.693311
0.13,247.816994,44.661045,-89.693287
0.131,247.849091,44.665354,-89.693263
0.132,247.881147,44.669662,-89.69324
0.133,247.913254,44.67397,-89.693216
0.134,247.94534,44.678277,-89.693193
0.135,247.9774,44.682583,-89.693169
0.136,248.009439,44.686888,-89.693146
0.137,248.04155,44.691193,-89.693122
0.138,248.073639,44.695497,-89.693098
0.139,248.105624,44.699801,-89.693075
0.14,248.137724,44.704104,-89.693051
0.141,248.169759,44.708406,-89.693028
0.142,248.201871,44.712707,-89.693004
0.143,248.23392,44.717008,-89.69298
0.144,248.265995,44.721308,-89.692957
0.145,248.298047,44.725608,-89.692933
0.146,248.330054,44.729907,-89.69291
0.147,248.362078,44.734205,-89.692886
0.148,248.394145,44.738502,-89.692862
0.149,248.426206,44.742799,-89.692839
0.15,248.458269,44.747095,-89.692815
0.151,248.490334,44.751391,-89.692792
0.152,248.522318,44.755686,-89.692768
0.153,248.554399,44.75998,-89.692744
0.154,248.586373,44.764274,-89.692721
0.155,248.618464,44.768567,-89.692697
0.156,248.650528,44.772859,-89.692674
0.157,248.682544,44.77715,-89.69265
0.158,248.714497,44.781441,-89.692626
0.159,248.746578,44.785732,-89.692603
0.16,248.778559,44.790021,-89.692579
0.161,248.810658,44.79431,-89.692556
0.162,248.84267,44.798599,-89.692532
0.163,248.874626,44.802886,-89.692508
0.164,248.906723,44.807173,-89.692485
0.165,248.938659,44.81146,-89.692461
0.166,248.970776,44.815745,-89.692437
0.167,249.002693,44.82003,-89.692414
0.168,249.034768,44.824315,-89.69239
0.169,249.066811,44.828598,-89.692367
0.17,249.098767,44.832881,-89.692343
0.171,249.130737,44.837164,-89.692319
0.172,249.162781,44.841445,-89.692296
0.173,249.194838,44.845726,-89.692272
0.174,249.226825,44.850007,-89.692248
0.175,249.258872,44.854287,-89.692225
0.176,249.290746,44.858566,-89.692201
0.177,249.322838,44.862844,-89.692177
0.178,249.354823,44.867122,-89.692154
0.179,249.386726,44.871399,-89.69213
0.18,249.418803,44.875676,-89.692106
0.181,249.450791,44.879951,-89.692083
0.182,249.482803,44.884226,-89.692059
0.183,249.51469,44.888501,-89.692035
0.184,249.546701,44.892775,-89.692012
0.185,249.578731,44.897048,-89.691988
0.186,249.610746,44.90132,-89.691964
0.187,249.64265,44.905592,-89.691941
0.188,249.674589,44.909864,-89.691917
0.189,249.706595,44.914134,-89.691893
0.19,249.73922,44.918404,-89.69187
0.191,249.781033,44.922673,-89.691846
0.192,249.831886,44.926942,-89.691822
0.193,249.882649,44.93121,-89.691799
0.194,249.933461,44.935477,-89.691775
0.195,249.98427,44.939744,-89.691751
0.195398,250.004496,44.941442,-89.691742
0.196398,249.991654,44.937021,-89.691719
0.197398,249.985078,44.932601,-89.691696
0.198398,249.978506,44.928182,-89.691673
0.199398,249.971933,44.923763,-89.691651
0.200398,249.966457,44.919345,-89.691628
0.201398,249.960101,44.914927,-89.691605
0.202398,249.952906,44.910511,-89.691582
0.203398,249.947416,44.906094,-89.691559
0.204398,249.94025,44.901679,-89.691536
0.205398,249.934636,44.897264,-89.691513
0.206398,249.927441,44.89285,-89.691491
0.207398,249.920607,44.888436,-89.691468
0.208398,249.915744,44.884023,-89.691445
0.209398,249.909412,44.879611,-89.691422
0.210398,249.903093,44.8752,-89.691399
0.211398,249.896766,44.870789,-89.691376
0.212398,249.889421,44.866378,-89.691353
0.213398,249.883108,44.861969,-89.691331
0.214398,249.876652,44.85756,-89.691308
0.215398,249.87153,44.853151,-89.691285
0.216398,249.864714,44.848744,-89.691262
0.217398,249.858116,44.844337,-89.691239
0.218398,249.852633,44.83993,-89.691216
0.219398,249.845753,44.835525,-89.691193
0.220398,249.840079,44.83112,-89.69117
0.221398,249.833765,44.826715,-89.691147
0.222398,249.82635,44.822311,-89.691125
0.223398,249.820423,44.817908,-89.691102
0.224398,249.814922,44.813506,-89.691079
0.225398,249.808642,44.809104,-89.691056
0.226398,249.802373,44.804703,-89.691033
0.227398,249.795054,44.800303,-89.69101
0.228398,249.789837,44.795903,-89.690987
0.229398,249.782547,44.791504,-89.690964
0.230398,249.776432,44.787105,-89.690941
0.231398,249.771065,44.782707,-89.690918
0.232398,249.764805,44.77831,-89.690896
0.233398,249.758275,44.773913,-89.690873
0.234398,249.752316,44.769517,-89.69085
0.235398,249.744961,44.765122,-89.690827
0.236398,249.739361,44.760728,-89.690804
0.237398,249.733601,44.756334,-89.690781
0.238398,249.72614,44.75194,-89.690758
0.239398,249.721137,44.747548,-89.690735
0.240398,249.714183,44.743156,-89.690712
0.241398,249.708684,44.738764,-89.690689
0.242398,249.702462,44.734374,-89.690666
0.243398,249.696245,44.729983,-89.690643
0.244398,249.690061,44.725594,-89.690621
0.245398,249.683819,44.721205,-89.690598
0.246398,249.676686,44.716817,-89.690575
0.247398,249.671411,44.71243,-89.690552
0.248398,249.664042,44.708043,-89.690529
0.249398,249.658935,44.703657,-89.690506
0.250398,249.65281,44.699271,-89.690483
0.251398,249.646622,44.694886,-89.69046
0.252398,249.640428,44.690502,-89.690437
0.253398,249.634246,44.686119,-89.690414
0.254398,249.627805,44.681736,-89.690391
0.255398,249.621058,44.677354,-89.690368
0.256398,249.614978,44.672972,-89.690345
0.257398,249.609536,44.668591,-89.690322
0.258398,249.603361,44.664211,-89.690299
0.259398,249.596272,44.659831,-89.690276
0.260398,249.590343,44.655452,-89.690253
0.261398,249.584472,44.651074,-89.69023
0.262398,249.578712,44.646696,-89.690207
0.263398,249.571928,44.642319,-89.690184
0.264398,249.565823,44.637942,-89.690162
0.265398,249.559303,44.633567,-89.690139
0.266398,249.553447,44.629192,-89.690116
0.267398,249.546857,44.624817,-89.690093
0.268398,249.541466,44.620443,-89.69007
0.269398,249.535024,44.61607,-89.690047
0.270398,249.529154,44.611698,-89.690024
0.271398,249.522635,44.607326,-89.690001
0.272398,249.517314,44.602954,-89.689978
0.273398,249.511196,44.598584,-89.689955
0.274398,249.504332,44.594214,-89.689932
0.275398,249.498127,44.589845,-89.689909
0.276398,249.492373,44.585476,-89.689886
0.277398,249.486069,44.581108,-89.689863
0.278398,249.479708,44.576741,-89.68984
0.279398,249.47453,44.572374,-89.689817
0.280398,249.467347,44.568008,-89.689794
0.281398,249.461754,44.563643,-89.689771
0.282398,249.455124,44.559278,-89.689748
0.283398,249.449401,44.554914,-89.689725
0.284398,249.443225,44.55055,-89.689702
0.285398,249.437024,44.546188,-89.689679
0.286398,249.431074,44.541825,-89.689656
0.287398,249.424806,44.537464,-89.689633
0.288398,249.419328,44.533103,-89.68961
0.289398,249.413662,44.528743,-89.689587
0.290398,249.407625,44.524383,-89.689564
0.291398,249.40153,44.520024,-89.689541
0.292398,249.39455,44.515666,-89.689518
0.293398,249.388804,44.511308,-89.689495
0.294398,249.382468,44.506951,-89.689472
0.295398,249.377304,44.502595,-89.689449
0.296398,249.370271,44.498239,-89.689426
0.297398,249.3652,44.493884,-89.689403
0.298398,249.359161,44.48953,-89.68938
0.299398,249.35229,44.485176,-89.689357
0.300398,249.345838,44.480823,-89.689334
0.301398,249.340149,44.476471,-89.68931
0.302398,249.334026,44.472119,-89.689287
0.303398,249.328994,44.467768,-89.689264
0.304398,249.322068,44.463417,-89.689241
0.305398,249.316952,44.459067,-89.689218
0.306398,249.310625,44.454718,-89.689195
0.307398,249.304154,44.450369,-89.689172
0.308398,249.297964,44.446021,-89.689149
0.309398,249.292113,44.441674,-89.689126
0.310398,249.285846,44.437327,-89.689103
0.311398,249.280069,44.432981,-89.68908
0.312398,249.274884,44.428636,-89.689057
0.313398,249.268897,44.424291,-89.689034
0.314398,249.262013,44.419947,-89.689011
0.315398,249.256268,44.415604,-89.688988
0.316398,249.250182,44.411261,-89.688965
0.317398,249.244336,44.406919,-89.688942
0.318398,249.238493,44.402577,-89.688919
0.319398,249.232983,44.398236,-89.688896
0.320398,249.226403,44.393896,-89.688872
0.321398,249.221044,44.389557,-89.688849
0.322398,249.2149,44.385218,-89.688826
0.323398,249.208005,44.380879,-89.688803
0.324398,249.203146,44.376542,-89.68878
0.325398,249.19684,44.372205,-89.688757
0.326398,249.191229,44.367868,-89.688734
0.327398,249.184184,44.363533,-89.688711
0.328398,249.178461,44.359197,-89.688688
0.329398,249.17271,44.354863,-89.688665
0.330398,249.166365,44.350529,-89.688642
0.331398,249.16055,44.346196,-89.688619
0.332398,249.15473,44.341864,-89.688596
0.333398,249.148846,44.337532,-89.688572
0.334398,249.142927,44.333201,-89.688549
0.335398,249.13781,44.32887,-89.688526
0.336398,249.13189,44.32454,-89.688503
0.337398,249.125015,44.320211,-89.68848
0.338398,249.119875,44.315882,-89.688457
0.339398,249.113602,44.311554,-89.688434
0.340398,249.107387,44.307227,-89.688411
0.341398,249.10128,44.3029,-89.688388
0.342398,249.095758,44.298574,-89.688365
0.343398,249.090485,44.294248,-89.688341
0.344398,249.083901,44.289924,-89.688318
0.345398,249.077646,44.285599,-89.688295
0.346398,249.072803,44.281276,-89.688272
0.347398,249.066206,44.276953,-89.688249
0.348398,249.060524,44.272631,-89.688226
0.348479,249.05957,44.272282,-89.688224
0.349479,248.988292,44.268094,-89.688248
0.350479,248.963134,44.263904,-89.688272
0.351479,248.939359,44.259715,-89.688296
0.352479,248.915497,44.255524,-89.688319
0.353479,248.891608,44.251333,-89.688343
0.354479,248.867947,44.247142,-89.688367
0.355479,248.844098,44.242949,-89.688391
0.356479,248.820325,44.238756,-89.688415
0.357479,248.796391,44.234563,-89.688438
0.358479,248.7727,44.230368,-89.688462
0.359479,248.748859,44.226173,-89.688486
0.360479,248.725078,44.221978,-89.68851
0.361479,248.701233,44.217782,-89.688534
0.362479,248.677278,44.213585,-89.688558
0.363479,248.653443,44.209388,-89.688581
0.364479,248.629706,44.205189,-89.688605
0.365479,248.605858,44.200991,-89.688629
0.366479,248.582016,44.196791,-89.688653
0.367479,248.558177,44.192591,-89.688677
0.368479,248.534222,44.188391,-89.6887
0.369479,248.510422,44.184189,-89.688724
0.370479,248.486584,44.179987,-89.688748
0.371479,248.462752,44.175785,-89.688772
0.372479,248.438902,44.171582,-89.688796
0.373479,248.414916,44.167378,-89.688819
0.374479,248.391085,44.163173,-89.688843
0.375479,248.367164,44.158968,-89.688867
0.376479,248.343355,44.154762,-89.688891
0.377479,248.319397,44.150556,-89.688915
0.378479,248.295594,44.146349,-89.688938
0.379479,248.271619,44.142141,-89.688962
0.380479,248.247784,44.137932,-89.688986
0.381479,248.223879,44.133723,-89.68901
0.382479,248.199978,44.129514,-89.689033
0.383479,248.176063,44.125303,-89.689057
0.384479,248.152165,44.121092,-89.689081
0.385479,248.128192,44.116881,-89.689105
0.386479,248.10437,44.112669,-89.689129
0.387479,248.080401,44.108456,-89.689152
0.388479,248.056493,44.104242,-89.689176
0.389479,248.032528,44.100028,-89.6892
0.390479,248.008627,44.095813,-89.689224
0.391479,247.98467,44.091598,-89.689247
0.392479,247.960692,44.087382,-89.689271
0.393479,247.936792,44.083165,-89.689295
0.394479,247.912888,44.078947,-89.689319
0.395479,247.888919,44.074729,-89.689342
0.396479,247.864892,44.070511,-89.689366
0.397479,247.840936,44.066291,-89.68939
0.398479,247.817033,44.062071,-89.689414
0.399479,247.793008,44.057851,-89.689437
0.400479,247.769041,44.05363,-89.689461
0.401479,247.745122,44.049408,-89.689485
0.402479,247.72111,44.045185,-89.689509
0.403479,247.697137,44.040962,-89.689532
0.404479,247.673175,44.036738,-89.689556
0.405479,247.649141,44.032513,-89.68958
0.406479,247.625171,44.028288,-89.689604
0.407479,247.601208,44.024062,-89.689627
0.408479,247.577208,44.019836,-89.689651
0.409479,247.5532,44.015609,-89.689675
0.410479,247.529181,44.011381,-89.689699
0.411479,247.505157,44.007153,-89.689722
0.412479,247.481182,44.002924,-89.689746
0.413479,247.457106,43.998694,-89.68977
0.414479,247.433138,43.994464,-89.689794
0.415479,247.409103,43.990233,-89.689817
0.416479,247.385037,43.986001,-89.689841
0.417479,247.360999,43.981769,-89.689865
0.418479,247.336964,43.977536,-89.689888
0.419479,247.312934,43.973302,-89.689912
0.420479,247.288924,43.969068,-89.689936
0.421479,247.264878,43.964833,-89.68996
0.422479,247.240784,43.960598,-89.689983
0.423479,247.216748,43.956362,-89.690007
0.424479,247.192672,43.952125,-89.690031
0.425479,247.168656,43.947888,-89.690054
0.426479,247.144582,43.943649,-89.690078
0.427479,247.120521,43.939411,-89.690102
0.428479,247.09644,43.935171,-89.690126
0.429479,247.072359,43.930931,-89.690149
0.430479,247.048296,43.926691,-89.690173
0.431479,247.024175,43.922449,-89.690197
0.432479,247.000094,43.918207,-89.69022
0.433479,246.975991,43.913965,-89.690244
0.434479,246.951915,43.909721,-89.690268
0.435479,246.927815,43.905477,-89.690291
0.436479,246.903703,43.901233,-89.690315
0.437479,246.879596,43.896988,-89.690339
0.438479,246.855499,43.892742,-89.690362
0.439479,246.831367,43.888495,-89.690386
0.440479,246.807263,43.884248,-89.69041
0.441479,246.783137,43.88,-89.690434
0.442479,246.759032,43.875752,-89.690457
0.443479,246.734883,43.871502,-89.690481
0.444479,246.71075,43.867253,-89.690505
0.445479,246.686614,43.863002,-89.690528
0.446479,246.662493,43.858751,-89.690552
0.447479,246.638351,43.854499,-89.690576
0.448479,246.61419,43.850247,-89.690599
0.449479,246.59004,43.845994,-89.690623
0.450479,246.565888,43.84174,-89.690647
0.451479,246.541726,43.837486,-89.69067
0.452479,246.51757,43.833231,-89.690694
0.453479,246.493411,43.828975,-89.690718
0.454479,246.46924,43.824719,-89.690741
0.455479,246.445062,43.820462,-89.690765
0.456479,246.420886,43.816205,-89.690789
0.457479,246.396712,43.811946,-89.690812
0.458479,246.372533,43.807687,-89.690836
0.459479,246.348339,43.803428,-89.690859
0.460479,246.324148,43.799168,-89.690883
0.461479,246.299958,43.794907,-89.690907
0.462479,246.275761,43.790645,-89.69093
0.463479,246.251556,43.786383,-89.690954
0.464479,246.227351,43.78212,-89.690978
0.465479,246.203145,43.777857,-89.691001
0.466479,246.178933,43.773593,-89.691025
0.467479,246.154704,43.769328,-89.691049
0.468479,246.130493,43.765063,-89.691072
0.469479,246.106274,43.760797,-89.691096
0.470479,246.08205,43.75653,-89.69112
0.471479,246.057808,43.752262,-89.691143
0.472479,246.033567,43.747994,-89.691167
0.473479,246.009337,43.743726,-89.69119
0.474479,245.985102,43.739456,-89.691214
0.475479,245.960855,43.735186,-89.691238
0.476479,245.936605,43.730916,-89.691261
0.477479,245.912352,43.726644,-89.691285
0.478479,245.888096,43.722373,-89.691308
0.479479,245.863836,43.7181,-89.691332
0.480479,245.839554,43.713827,-89.691356
0.481479,245.815293,43.709553,-89.691379
0.482479,245.791032,43.705278,-89.691403
0.483479,245.766756,43.701003,-89.691427
0.484479,245.742463,43.696727,-89.69145
0.485479,245.718199,43.692451,-89.691474
0.486479,245.69391,43.688173,-89.691497
0.487479,245.669617,43.683896,-89.691521
0.488479,245.645299,43.679617,-89.691545
0.489479,245.621033,43.675338,-89.691568
0.490479,245.596727,43.671058,-89.691592
0.491479,245.572395,43.666778,-89.691615
0.492479,245.54812,43.662497,-89.691639
0.493479,245.523804,43.658215,-89.691663
0.494479,245.499484,43.653932,-89.691686
0.495479,245.47517,43.649649,-89.69171
0.496479,245.450848,43.645366,-89.691733
0.497479,245.426517,43.641081,-89.691757
0.498479,245.402178,43.636796,-89.69178
0.499479,245.377833,43.63251,-89.691804
0.500479,245.353518,43.628224,-89.691828
0.501479,245.329183,43.623937,-89.691851
0.502479,245.304832,43.619649,-89.691875
