position,TerrainSlope,lon,lat
0,19.839438,44.992426,-89.777027
0.001882,19.743345,45.008307,-89.777033
0.003763,19.886085,45.024189,-89.777038
0.005645,20.211282,45.040071,-89.777044
0.007526,20.421382,45.055954,-89.777049
0.009408,20.560742,45.071838,-89.777055
0.01129,20.778899,45.087723,-89.77706
0.013171,20.963174,45.103609,-89.777066
0.015053,21.068333,45.119495,-89.777071
0.016934,21.078614,45.135383,-89.777076
0.018816,21.245328,45.15127,-89.777082
0.020697,21.811671,45.167159,-89.777087
0.022579,22.819888,45.183049,-89.777093
0.024461,23.376513,45.198939,-89.777098
0.026342,22.442655,45.21483,-89.777103
0.028224,20.535006,45.230722,-89.777109
0.030105,18.835728,45.246614,-89.777114
0.031987,18.011295,45.262508,-89.777119
0.033869,17.943244,45.278402,-89.777124
0.03575,18.042832,45.294296,-89.77713
0.037632,18.233498,45.310192,-89.777135
0.039513,18.702555,45.326088,-89.77714
0.041395,19.264823,45.341985,-89.777145
0.043277,19.823592,45.357883,-89.77715
0.045158,20.421585,45.373781,-89.777156
0.04704,20.931273,45.389681,-89.777161
0.048921,21.454713,45.405581,-89.777166
0.050803,21.887431,45.421481,-89.777171
0.052685,22.007554,45.437383,-89.777176
0.054566,21.774576,45.453285,-89.777181
0.056448,20.923552,45.469188,-89.777186
0.058329,20.085672,45.485091,-89.777191
0.060211,19.742247,45.500996,-89.777196
0.062092,19.556081,45.516901,-89.777201
0.063974,19.604061,45.532806,-89.777206
0.065856,19.794512,45.548713,-89.777211
0.067737,19.377108,45.56462,-89.777216
0.069619,17.851331,45.580528,-89.777221
0.0715,16.006413,45.596437,-89.777226
0.073382,14.489224,45.612346,-89.777231
0.075264,13.563083,45.628256,-89.777236
0.077145,13.248767,45.644166,-89.777241
0.079027,13.359933,45.660078,-89.777246
0.080908,13.985423,45.67599,-89.777251
0.08279,14.927617,45.691903,-89.777255
0.084672,15.974662,45.707816,-89.77726
0.086553,16.959345,45.72373,-89.777265
0.088435,17.739582,45.739645,-89.77727
0.090316,18.282381,45.755561,-89.777274
0.092198,18.570934,45.771477,-89.777279
0.09408,18.815754,45.787394,-89.777284
0.095961,19.007778,45.803311,-89.777289
0.097843,19.00784,45.819229,-89.777293
0.099724,18.926073,45.835148,-89.777298
0.101606,18.906209,45.851068,-89.777303
0.103487,18.697488,45.866988,-89.777307
0.105369,18.470535,45.882909,-89.777312
0.107251,18.386134,45.89883,-89.777316
0.109132,18.178818,45.914752,-89.777321
0.111014,18.016208,45.930675,-89.777326
